Clave,id_edo,id_mun,id_loc,Estado,Municipio,Nombre de localidad
010010190,1,1,190,Aguascalientes,Aguascalientes,El Duraznillo
010020034,1,2,34,Aguascalientes,Asientos,Las Negritas
020010121,2,1,121,Baja California,Ensenada,La Huerta
020010759,2,1,759,Baja California,Ensenada,Comunidad Indígena de Santa Catarina
020030211,2,3,211,Baja California,Tecate,Hacienda Santa Verónica
020050466,2,5,466,Baja California,Playas de Rosarito,San José de la Zorra
020060022,2,6,22,Baja California,San Quintín,Bahía de los Ángeles
020060068,2,6,68,Baja California,San Quintín,Cataviña
020060120,2,6,120,Baja California,San Quintín,Ejido Nuevo Rosarito
020060427,2,6,427,Baja California,San Quintín,Hacienda Sinaloa
020060683,2,6,683,Baja California,San Quintín,Punta Prieta
020060837,2,6,837,Baja California,San Quintín,Santa Rosaliíta
030010266,3,1,266,Baja California Sur,Comondú,Ramaditas
030010394,3,1,394,Baja California Sur,Comondú,Ley Federal de Aguas Número Cinco
030012821,3,1,2821,Baja California Sur,Comondú,El Ranchito
030020049,3,2,49,Baja California Sur,Mulegé,El Dátil
030020077,3,2,77,Baja California Sur,Mulegé,Isla San Marcos
030020232,3,2,232,Baja California Sur,Mulegé,Emiliano Zapata
030020244,3,2,244,Baja California Sur,Mulegé,Ejido Licenciado Alfredo Vladimir Bonfil
030020269,3,2,269,Baja California Sur,Mulegé,Palo Verde
030020967,3,2,967,Baja California Sur,Mulegé,El Cardón
030021374,3,2,1374,Baja California Sur,Mulegé,Ejido Luis Echeverría
030031050,3,3,1050,Baja California Sur,La Paz,El Ancón
030031500,3,3,1500,Baja California Sur,La Paz,Ley Federal de Reforma Agraria Número Uno
040020072,4,2,72,Campeche,Campeche,Bolonchén Cahuich
040020073,4,2,73,Campeche,Campeche,Castamay
040020082,4,2,82,Campeche,Campeche,Hobomó
040020094,4,2,94,Campeche,Campeche,Crucero Oxá
040020118,4,2,118,Campeche,Campeche,Pueblo Nuevo
040020172,4,2,172,Campeche,Campeche,Melchor Ocampo
040030612,4,3,612,Campeche,Carmen,La Cristalina
040033395,4,3,3395,Campeche,Carmen,Licenciado Gustavo Díaz Ordaz (18 de Marzo)
040033531,4,3,3531,Campeche,Carmen,San Isidro
040034012,4,3,4012,Campeche,Carmen,Tumbo de la Montaña 2
040040003,4,4,3,Campeche,Champotón,López Mateos (La Desconfianza)
040040082,4,4,82,Campeche,Champotón,Ulumal
040040130,4,4,130,Campeche,Champotón,Cañaveral
040050011,4,5,11,Campeche,Hecelchakán,Dzotchén
040050045,4,5,45,Campeche,Hecelchakán,Yalnón [Campo Menonita]
040060006,4,6,6,Campeche,Hopelchén,Crucero San Luis
040060007,4,6,7,Campeche,Hopelchén,Chan-Chen
040060027,4,6,27,Campeche,Hopelchén,Katab
040060569,4,6,569,Campeche,Hopelchén,Nuevo Progreso Campo Siete
040070056,4,7,56,Campeche,Palizada,El Juncal
040080005,4,8,5,Campeche,Tenabo,Tinún
040090018,4,9,18,Campeche,Escárcega,La Asunción
040090190,4,9,190,Campeche,Escárcega,El Huiro
040090247,4,9,247,Campeche,Escárcega,Kilómetro Treinta y Seis
040090865,4,9,865,Campeche,Escárcega,Nuevo Campeche (Tres Aguadas)
040100018,4,10,18,Campeche,Calakmul,Arroyo Negro
040100026,4,10,26,Campeche,Calakmul,Blasillo
040100076,4,10,76,Campeche,Calakmul,Dos Lagunas
040100082,4,10,82,Campeche,Calakmul,Felipe Ángeles
040100094,4,10,94,Campeche,Calakmul,Guillermo Prieto
040100143,4,10,143,Campeche,Calakmul,Manuel Crescencio Rejón
040100159,4,10,159,Campeche,Calakmul,Nuevo Bécal (El 19)
040100236,4,10,236,Campeche,Calakmul,Los Tambores de Emiliano Zapata
